"licence_number","band","licensee","subservice","subordinated_from_licence","block","licence_area","condition_area","start_date","expiry_date","term_expiry_date","min_coverage","term_length","pop_covered","perc_covered","absolute_coverage_shortage","relative_coverage_shortage","expiry_time_margin","condition_met","pwr_threshold"
"010814408","MBS","Rogers","Subordinate","1.0282457E7","C2","2-010","2-010","2019-04-18","2034-04-01","2029-04-18","50.0","10","0.0","0.0","-50.0","-100.0","6.8","Not Applicable","-140"
"010691209","MBS","Vidéotron","Subordinate","1.0282701E7","A","2-006","2-006","2016-02-04","2034-04-02","2026-02-04","50.0","10","0.0","0.0","-50.0","-100.0","3.6","Not Applicable","-140"
"010284009","MBS","Vidéotron","Auction",,"C1","2-006","2-006","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010283661","MBS","Rogers","Auction",,"B","2-004","2-004","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010283507","MBS","TELUS","Auction",,"C","2-006","2-006","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010283375","MBS","Rogers","Auction",,"A","2-001","2-001","2014-02-13","2034-04-02","2024-02-13","30.0","10","0.0","0.0","-30.0","-100.0","1.7","Not Applicable","-140"
"010283025","MBS","Eastlink","Auction",,"C1","2-001","2-001","2014-02-13","2034-04-02","2024-02-13","30.0","10","215227.3","41.4","11.4","37.9","1.7","Yes","-140"
"010282925","MBS","Rogers","Auction",,"B","2-013","2-013","2014-02-13","2034-04-02","2024-02-13","50.0","10","4515786.5","97.2","47.2","94.3","1.7","Yes","-140"
"010282765","MBS","Bell","Auction",,"E","2-001","2-001","2014-02-13","2034-04-02","2024-02-13","30.0","10","455542.5","87.6","57.6","191.9","1.7","Yes","-140"
"010282707","MBS","Rogers","Auction",,"C","2-009","2-009","2014-02-13","2034-04-02","2024-02-13","50.0","10","503207.2","64.6","14.6","29.3","1.7","Yes","-140"
"010282453","MBS","Vidéotron","Auction",,"C1","2-004","2-004","2014-02-13","2034-04-02","2024-02-13","50.0","10","806721.0","47.5","-2.5","-5.1","1.7","Not Applicable","-140"
"010282087","MBS","TELUS","Auction",,"E","2-005","2-005","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010691211","MBS","Vidéotron","Subordinate","1.0283661E7","B","2-004","2-004","2016-02-04","2034-04-02","2026-02-04","50.0","10","0.0","0.0","-50.0","-100.0","3.6","Not Applicable","-140"
"010288593","MBS","Bell","Subordinate","1.0282907E7","C2","2-001","2-001","2015-04-28","2034-04-02","2025-04-28","30.0","10","477068.4","91.7","61.7","205.7","2.9","Yes","-140"
"010288453","MBS","Bell","Subordinate","1.0282803E7","C2","2-003","2-003","2015-04-28","2034-04-02","2025-04-28","40.0","10","723926.8","97.1","57.1","142.7","2.9","Yes","-140"
"010288253","MBS","Bell","Subordinate","1.0282909E7","C2","2-009","2-009","2015-04-28","2034-04-02","2025-04-28","50.0","10","681147.8","87.5","37.5","75.0","2.9","Yes","-140"
"010284011","MBS","Vidéotron","Auction",,"C1","2-007","2-007","2014-02-13","2034-04-02","2024-02-13","30.0","10","0.0","0.0","-30.0","-100.0","1.7","Not Applicable","-140"
"010283795","MBS","TELUS","Auction",,"C","2-005","2-005","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010283727","MBS","Bell","Auction",,"C2","2-005","2-005","2014-02-13","2034-04-02","2024-02-13","50.0","10","854060.5","14.5","-35.5","-71.0","1.7","Not Applicable","-140"
"010283723","MBS","Bell","Auction",,"B","2-007","2-007","2014-02-13","2034-04-02","2024-02-13","30.0","10","165643.9","85.4","55.4","184.7","1.7","Yes","-140"
"010283657","MBS","Rogers","Auction",,"A","2-002","2-002","2014-02-13","2034-04-02","2024-02-13","30.0","10","8874.8","0.8","-29.2","-97.2","1.7","Not Applicable","-140"
"010283509","MBS","TELUS","Auction",,"D","2-004","2-004","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010282995","MBS","Bell","Auction",,"D","2-007","2-007","2014-02-13","2034-04-02","2024-02-13","30.0","10","147050.6","75.8","45.8","152.8","1.7","Yes","-140"
"010282381","MBS","Bell","Auction",,"A","2-007","2-007","2014-02-13","2034-04-02","2024-02-13","30.0","10","165643.9","85.4","55.4","184.7","1.7","Yes","-140"
"010282317","MBS","Rogers","Auction",,"C","2-010","2-010","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010282085","MBS","TELUS","Auction",,"A","2-010","2-010","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010284041","MBS","TELUS","Auction",,"D","2-010","2-010","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010283511","MBS","TELUS","Auction",,"E","2-010","2-010","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010283501","MBS","Eastlink","Auction",,"C1","2-002","2-002","2014-02-13","2034-04-02","2024-02-13","30.0","10","1007511.1","94.5","64.5","214.9","1.7","Yes","-140"
"010283475","MBS","Bell","Auction",,"C2","2-004","2-004","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010283039","MBS","TELUS","Auction",,"E","2-013","2-013","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010282907","MBS","TELUS","Auction",,"C2","2-001","2-001","2014-02-13","2034-04-02","2024-02-13","30.0","10","0.0","0.0","-30.0","-100.0","1.7","Not Applicable","-140"
"010282799","MBS","TELUS","Auction",,"D","2-006","2-006","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010282763","MBS","Bell","Auction",,"A","2-014","4-170","2014-02-13","2034-04-02","2024-02-13","20.0","10","29269.5","81.5","61.5","307.3","1.7","Yes","-140"
"010282763","MBS","Bell","Auction",,"A","2-014","4-172","2014-02-13","2034-04-02","2024-02-13","20.0","10","21037.8","50.5","30.5","152.4","1.7","Yes","-140"
"010282763","MBS","Bell","Auction",,"A","2-014","4-171","2014-02-13","2034-04-02","2024-02-13","20.0","10","32782.8","91.1","71.1","355.6","1.7","Yes","-140"
"010282703","MBS","Rogers","Auction",,"A","2-008","2-008","2014-02-13","2034-04-02","2024-02-13","50.0","10","580212.9","5.5","-44.5","-89.1","1.7","Not Applicable","-140"
"010282701","MBS","Rogers","Auction",,"A","2-006","2-006","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010282455","MBS","Bell","Auction",,"E","2-009","2-009","2014-02-13","2034-04-02","2024-02-13","50.0","10","664356.5","85.3","35.3","70.7","1.7","Yes","-140"
"010282383","MBS","Bell","Auction",,"C","2-003","2-003","2014-02-13","2034-04-02","2024-02-13","40.0","10","733910.1","98.4","58.4","146.1","1.7","Yes","-140"
"010282089","MBS","TELUS","Auction",,"D","2-013","2-013","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010288743","MBS","Bell","Subordinate","1.0283801E7","C2","2-007","2-007","2015-04-28","2034-04-02","2025-04-28","30.0","10","155096.3","80.0","50.0","166.6","2.9","Yes","-140"
"010284013","MBS","Bell","Auction",,"E","2-003","2-003","2014-02-13","2034-04-02","2024-02-13","40.0","10","688382.7","92.3","52.3","130.8","1.7","Yes","-140"
"010283937","MBS","Rogers","Auction",,"A","2-013","2-013","2014-02-13","2034-04-02","2024-02-13","50.0","10","1234135.9","26.6","-23.4","-46.9","1.7","Not Applicable","-140"
"010283725","MBS","Bell","Auction",,"B","2-009","2-009","2014-02-13","2034-04-02","2024-02-13","50.0","10","740812.5","95.2","45.2","90.3","1.7","Yes","-140"
"010283473","MBS","Bell","Auction",,"D","2-002","2-002","2014-02-13","2034-04-02","2024-02-13","30.0","10","981683.4","92.0","62.0","206.8","1.7","Yes","-140"
"010283035","MBS","TELUS","Auction",,"C","2-014","4-172","2014-02-13","2034-04-02","2024-02-13","20.0","10","0.0","0.0","-20.0","-100.0","1.7","Not Applicable","-140"
"010283035","MBS","TELUS","Auction",,"C","2-014","4-170","2014-02-13","2034-04-02","2024-02-13","20.0","10","0.0","0.0","-20.0","-100.0","1.7","Not Applicable","-140"
"010283035","MBS","TELUS","Auction",,"C","2-014","4-171","2014-02-13","2034-04-02","2024-02-13","20.0","10","0.0","0.0","-20.0","-100.0","1.7","Not Applicable","-140"
"010282705","MBS","Rogers","Auction",,"B","2-006","2-006","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010282387","MBS","Bell","Auction",,"E","2-007","2-007","2014-02-13","2034-04-02","2024-02-13","30.0","10","147050.6","75.8","45.8","152.8","1.7","Yes","-140"
"010691224","MBS","Vidéotron","Subordinate","1.0282315E7","C","2-007","2-007","2016-02-04","2034-04-02","2026-02-04","30.0","10","0.0","0.0","-30.0","-100.0","3.6","Not Applicable","-140"
"010691221","MBS","Vidéotron","Subordinate","1.0282705E7","B","2-006","2-006","2016-02-04","2034-04-02","2026-02-04","50.0","10","0.0","0.0","-50.0","-100.0","3.6","Not Applicable","-140"
"010691208","MBS","Vidéotron","Subordinate","1.0283933E7","A","2-005","2-005","2016-02-04","2034-04-02","2026-02-04","50.0","10","0.0","0.0","-50.0","-100.0","3.6","Not Applicable","-140"
"010283721","MBS","Bell","Auction",,"C","2-002","2-002","2014-02-13","2034-04-02","2024-02-13","30.0","10","1055223.0","98.9","68.9","229.8","1.7","Yes","-140"
"010283719","MBS","Bell","Auction",,"A","2-009","2-009","2014-02-13","2034-04-02","2024-02-13","50.0","10","719800.9","92.5","42.5","84.9","1.7","Yes","-140"
"010282997","MBS","Bell","Auction",,"E","2-008","2-008","2014-02-13","2034-04-02","2024-02-13","50.0","10","1.00912644E7","95.1","45.1","90.2","1.7","Yes","-140"
"010282991","MBS","Bell","Auction",,"C","2-008","2-008","2014-02-13","2034-04-02","2024-02-13","50.0","10","1.02030035E7","96.2","46.2","92.3","1.7","Yes","-140"
"010282875","MBS","Bell","Auction",,"D","2-008","2-008","2014-02-13","2034-04-02","2024-02-13","50.0","10","1.00912644E7","95.1","45.1","90.2","1.7","Yes","-140"
"010282385","MBS","Bell","Auction",,"D","2-003","2-003","2014-02-13","2034-04-02","2024-02-13","40.0","10","688382.8","92.3","52.3","130.8","1.7","Yes","-140"
"010283933","MBS","Rogers","Auction",,"A","2-005","2-005","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010283659","MBS","Rogers","Auction",,"B","2-001","2-001","2014-02-13","2034-04-02","2024-02-13","30.0","10","258004.8","49.6","19.6","65.3","1.7","Yes","-140"
"010283471","MBS","Freedom","Auction",,"C1","2-013","2-013","2014-02-13","2034-04-02","2024-02-13","50.0","10","3875562.6","83.4","33.4","66.8","1.7","Yes","-140"
"010283173","MBS","Rogers","Auction",,"B","2-008","2-008","2014-02-13","2034-04-02","2024-02-13","50.0","10","1.06065847E7","100.0","50.0","99.9","1.7","Yes","-140"
"010283169","MBS","Rogers","Auction",,"A","2-004","2-004","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010283037","MBS","TELUS","Auction",,"E","2-004","2-004","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010283027","MBS","Eastlink","Auction",,"C1","2-003","2-003","2014-02-13","2034-04-02","2024-02-13","40.0","10","432420.2","58.0","18.0","45.0","1.7","Yes","-140"
"010282993","MBS","Bell","Auction",,"B","2-014","4-170","2014-02-13","2034-04-02","2024-02-13","20.0","10","32698.6","91.0","71.0","355.1","1.7","Yes","-140"
"010282993","MBS","Bell","Auction",,"B","2-014","4-172","2014-02-13","2034-04-02","2024-02-13","20.0","10","38072.2","91.4","71.4","356.9","1.7","Yes","-140"
"010282993","MBS","Bell","Auction",,"B","2-014","4-171","2014-02-13","2034-04-02","2024-02-13","20.0","10","32782.8","91.1","71.1","355.6","1.7","Yes","-140"
"010282987","MBS","Freedom","Auction",,"C1","2-008","2-008","2014-02-13","2034-04-02","2024-02-13","50.0","10","8822570.7","83.2","33.2","66.3","1.7","Yes","-140"
"010282901","MBS","TELUS","Auction",,"B","2-010","2-010","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010814358","MBS","Bell","Subordinate","1.0282317E7","C","2-010","2-010","2019-04-18","2034-04-01","2029-04-18","50.0","10","1024259.3","80.1","30.1","60.3","6.8","Yes","-140"
"010284015","MBS","Bell","Auction",,"D","2-009","2-009","2014-02-13","2034-04-02","2024-02-13","50.0","10","664356.5","85.3","35.3","70.7","1.7","Yes","-140"
"010283729","MBS","Bell","Auction",,"C2","2-006","2-006","2014-02-13","2034-04-02","2024-02-13","50.0","10","1280331.8","52.6","2.6","5.1","1.7","Yes","-140"
"010283515","MBS","TELUS","Auction",,"C2","2-008","2-008","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010283379","MBS","Rogers","Auction",,"B","2-003","2-003","2014-02-13","2034-04-02","2024-02-13","40.0","10","712597.6","95.6","55.6","138.9","1.7","Yes","-140"
"010283377","MBS","Rogers","Auction",,"A","2-003","2-003","2014-02-13","2034-04-02","2024-02-13","40.0","10","48267.9","6.5","-33.5","-83.8","1.7","Not Applicable","-140"
"010283171","MBS","Rogers","Auction",,"B","2-002","2-002","2014-02-13","2034-04-02","2024-02-13","30.0","10","1017216.9","95.4","65.4","217.9","1.7","Yes","-140"
"010282999","MBS","Bell","Auction",,"E","2-014","4-170","2014-02-13","2034-04-02","2024-02-13","20.0","10","25919.6","72.1","52.1","260.7","1.7","Yes","-140"
"010282999","MBS","Bell","Auction",,"E","2-014","4-171","2014-02-13","2034-04-02","2024-02-13","20.0","10","0.0","0.0","-20.0","-100.0","1.7","Not Applicable","-140"
"010282999","MBS","Bell","Auction",,"E","2-014","4-172","2014-02-13","2034-04-02","2024-02-13","20.0","10","22069.5","53.0","33.0","164.8","1.7","Yes","-140"
"010282909","MBS","TELUS","Auction",,"C2","2-009","2-009","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010282871","MBS","Bell","Auction",,"C","2-001","2-001","2014-02-13","2034-04-02","2024-02-13","30.0","10","489875.5","94.2","64.2","213.9","1.7","Yes","-140"
"010282769","MBS","Bell","Auction",,"D","2-014","4-171","2014-02-13","2034-04-02","2024-02-13","20.0","10","0.0","0.0","-20.0","-100.0","1.7","Not Applicable","-140"
"010282769","MBS","Bell","Auction",,"D","2-014","4-172","2014-02-13","2034-04-02","2024-02-13","20.0","10","22069.5","53.0","33.0","164.8","1.7","Yes","-140"
"010282769","MBS","Bell","Auction",,"D","2-014","4-170","2014-02-13","2034-04-02","2024-02-13","20.0","10","25919.6","72.1","52.1","260.7","1.7","Yes","-140"
"010282561","MBS","TELUS","Auction",,"C","2-013","2-013","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010282413","MBS","Eastlink","Auction",,"C1","2-009","2-009","2014-02-13","2034-04-02","2024-02-13","50.0","10","261706.7","33.6","-16.4","-32.8","1.7","Not Applicable","-140"
"010282313","MBS","Rogers","Auction",,"B","2-005","2-005","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010691219","MBS","Vidéotron","Subordinate","1.0282313E7","B","2-005","2-005","2016-02-04","2034-04-02","2026-02-04","50.0","10","0.0","0.0","-50.0","-100.0","3.6","Not Applicable","-140"
"010691194","MBS","Vidéotron","Subordinate","1.0283169E7","A","2-004","2-004","2016-02-04","2034-04-02","2026-02-04","50.0","10","0.0","0.0","-50.0","-100.0","3.6","Not Applicable","-140"
"010288583","MBS","Bell","Subordinate","1.0283035E7","C","2-014","4-170","2015-04-14","2034-04-02","2025-04-14","20.0","10","30653.2","85.3","65.3","326.6","2.8","Yes","-140"
"010288583","MBS","Bell","Subordinate","1.0283035E7","C","2-014","4-172","2015-04-14","2034-04-02","2025-04-14","20.0","10","32079.8","77.0","57.0","284.9","2.8","Yes","-140"
"010288583","MBS","Bell","Subordinate","1.0283035E7","C","2-014","4-171","2015-04-14","2034-04-02","2025-04-14","20.0","10","32782.8","91.1","71.1","355.6","2.8","Yes","-140"
"010288451","MBS","Bell","Subordinate","1.0283799E7","C2","2-002","2-002","2015-04-28","2034-04-02","2025-04-28","30.0","10","1045768.9","98.1","68.1","226.9","2.9","Yes","-140"
"010284039","MBS","TELUS","Auction",,"D","2-005","2-005","2014-02-13","2034-04-02","2024-02-13","50.0","10","0.0","0.0","-50.0","-100.0","1.7","Not Applicable","-140"
"010284007","MBS","Vidéotron","Auction",,"C1","2-005","2-005","2014-02-13","2034-04-02","2024-02-13","50.0","10","4529264.5","76.8","26.8","53.6","1.7","Yes","-140"
"010283801","MBS","TELUS","Auction",,"C2","2-007","2-007","2014-02-13","2034-04-02","2024-02-13","30.0","10","0.0","0.0","-30.0","-100.0","1.7","Not Applicable","-140"
"010283799","MBS","TELUS","Auction",,"C2","2-002","2-002","2014-02-13","2034-04-02","2024-02-13","30.0","10","0.0","0.0","-30.0","-100.0","1.7","Not Applicable","-140"
